Word,Number of Letters,Number of Phonemes,Number of Syllables,KF Written Frequency,KF Number of Categories,KF Number of Samples,Thorndike-Lorge Frequency,Brown Verbal Frequency,Familiarity,Concreteness,Imageability,Meaningfulness: Coloradao Norms,Meaningfulness: Pavio Norms,Age of Acquisition Rating,Word Type,Comprehensive Syntactic Category,Common Part of Speech,Morphemic status,Contextual Status,Pronunciation Variability,Capitalization,Irregular Plural,Stress-Marked Phonetic Transcription,Syllabified Phonetic Transcription,Stress Pattern
PRISON,6,0,2,42,9,25,258,3,462,570,593,0,721,0, ,V, , ,S, , , ,,,
PALACE,6,0,2,38,10,19,104,2,462,579,612,484,708,294, ,V, , ,S, , , ,,,
MOTOR,5,4,2,56,10,33,443,0,545,565,521,0,0,344,2,V,V, ,S, , , ,m@U/t@,'m@Ut@2,20.0
SILVER,6,5,2,29,11,26,334,0,528,564,582,431,0,317,2,V,V, ,S, , , ,sIl/v@,'sIlv@2,20.0
CANCER,6,0,2,25,7,11,27,5,556,615,567,492,0,0, ,V, , ,S, ,C, ,,,
VICTIM,6,6,2,27,8,23,205,0,511,467,521,0,536,423, ,N,N, ,S, , , ,vIk/tIm,'vIktIm,20.0
BISHOP,6,5,2,18,8,12,93,0,467,587,524,437,0,0, ,N,N, ,S, , , ,bI/S@p,'bIS@p,20.0
EATING,6,0,2,32,11,25,0,7,612,485,536,552,0,0, ,V, , , , , , ,,'itIN,
WEAPON,6,5,2,42,12,28,149,0,517,560,546,0,784,375, ,N,N, ,S, , , ,we/p@n,'wep@n,20.0
ONION,5,0,2,15,4,5,268,0,550,632,617,452,0,286, ,V, , ,S, , , ,,,
TUNNEL,6,4,2,10,5,5,84,0,541,555,578,393,0,0, ,N,N, ,S, , , ,tV/nL,'tVnl,20.0
ELBOW,5,4,2,10,5,8,134,0,564,607,602,0,516,237, ,N,N, ,S, , , ,el/b@U,'elb@U,20.0
LOBBY,5,0,2,20,7,13,73,0,420,532,462,0,0,406, ,O, , ,S, , , ,,,
RABBIT,6,0,2,11,5,7,96,0,523,635,611,433,0,206, ,V, , ,S, , , ,,'r&bIt,
DOCTOR,6,5,2,100,11,44,1631,32,573,575,600,544,732,0,2,V,V, ,Q, , , ,d0k/t@,'d0kt@2,20.0
LEADER,6,4,2,74,9,44,373,0,559,487,502,0,616,353,Q,N,N, ,S, , , ,li/d@,'lid@2 Q,20.0
HUNTER,6,0,2,18,7,11,225,0,428,535,564,0,0,342,Q,J, , ,S, , , ,,,
TOWER,5,0,2,13,5,10,201,1,463,585,596,0,642,353,2,V, , ,S, , , ,,'taU@2,
URBAN,5,0,2,42,9,22,19,1,518,420,476,500,0,0, ,N, , ,R, , , ,,,
OUTFIT,6,5,2,16,8,12,152,1,489,515,487,0,0,417, ,N,N, ,S, , , ,aUt/fIt,'aUtfIt,20.0
BOTTLE,6,4,2,76,8,24,402,24,591,591,619,0,724,0, ,V,V, ,S, , , ,b0/tl,'b0tl,20.0
BORDER,6,4,2,20,11,18,213,8,489,444,453,0,0,417,2,N,N, ,S, , , ,bO/d@,'bOd@2,20.0
ARTIST,6,0,2,57,10,34,309,0,547,554,600,528,665,0, ,J, , ,S, , , ,,,
COTTON,6,4,2,38,8,19,577,0,521,608,562,431,713,306, ,V,V, ,S, , , ,k0/tn,'k0tn,20.0
AUTHOR,6,3,2,46,9,37,312,6,554,502,460,502,524,414,2,N,N, ,S, , , ,O/T@,'OT@2,20.0
CAFE,4,4,2,20,10,15,0,0,531,568,625,479,0,0, ,N,N, ,F, , , ,k&/feI,k&feI,20.0
HERO,4,4,2,52,13,31,149,0,510,428,483,477,0,361, ,N,N, ,S, , , ,hI@/r@U,'hI@r@U,20.0
OBJECT,6,6,2,65,12,45,394,12,586,487,408,0,0,339, ,V,V, ,S,B, , ,@b/dZekt,@b'dZekt,2.0
ADULT,5,5,2,25,8,16,125,1,590,492,526,543,0,0, ,J,J, ,S, , , ,&/dVlt,'&dVlt,20.0
ORANGE,6,5,2,23,10,20,351,3,567,601,626,467,0,203, ,N,N, ,S, , , ,0/rIndZ,'0rIndZ,20.0
DINNER,6,4,2,91,13,61,1266,27,621,542,570,539,0,0,2,N,N, ,S, , , ,dI/n@,'dIn@2,20.0
BASKET,6,6,2,17,8,12,214,2,485,606,560,407,0,0, ,N,N, ,S, , , ,bAs/kIt,'bAskIt,20.0
SIGNAL,6,5,2,63,12,32,148,3,507,464,513,0,0,367, ,N,N, ,S, , , ,sIg/nL,'sIgn@l,20.0
CIRCLE,6,4,2,60,10,40,388,5,581,515,591,474,488,214, ,V,V, ,S, , , ,s3/kl,'s3kl,20.0
FOREST,6,6,2,66,9,21,209,2,513,609,633,520,912,297, ,N,N, , , , , ,f0/rIst,'f0rIst,20.0
VESSEL,6,0,2,16,6,10,95,1,461,571,525,0,782,400, ,V, , ,O, , , ,,,
LEVER,5,0,2,14,3,6,15,0,518,572,515,411,0,0, ,J, , ,O, , , ,,,
BUFFER,6,4,2,16,2,4,9,0,402,509,459,0,0,553,2,N,N, ,S, , , ,bV/f@,'bVf@2,20.0
TIRE,4,3,2,22,6,8,865,0,546,563,511,400,0,0,2,V,V, ,S, , , ,taI/@,'taI@2,20.0
RECTOR,6,5,2,33,3,3,26,0,448,517,494,0,0,561,2,N,N, ,S, , , ,rek/t@,'rekt@2,20.0
CLOVER,6,0,2,16,1,1,29,0,486,554,606,397,0,0, ,V, , ,S, , , ,,,
DUSTY,5,5,2,16,7,13,74,0,537,452,506,444,0,0, ,J,J, ,S, , , ,dVs/tI,'dVstI,20.0
ECHO,4,3,2,10,6,10,163,1,478,415,556,0,0,356, ,N,N, ,S, , , ,e/k@U,'ek@U,20.0
INFANT,6,6,2,11,7,11,83,0,513,579,600,0,720,0, ,N,N, ,S, , , ,In/f@nt,'Inf@nt,20.0
GARDEN,6,0,2,60,12,37,1036,14,567,602,635,551,636,186, ,V, , ,S, , , ,,'gAdn,
BARREL,6,0,2,24,8,15,71,2,487,590,602,385,616,319, ,V, , ,S, , , ,,'b&r@l,
BELLY,5,4,2,23,8,12,29,1,486,630,576,440,0,0, ,V,V, ,S, , , ,be/lI,'belI,20.0
CIRCLE,6,4,2,60,10,40,388,5,581,515,591,474,488,214, ,N,N, ,S, , , ,s3/kl,'s3kl,20.0
COPPER,6,4,2,13,7,12,124,0,491,547,548,350,0,428,2,V,V, ,S, , , ,k0/p@,'k0p@2,20.0
CANCER,6,5,2,25,7,11,27,5,556,615,567,492,0,0,2,N,N, ,$, ,C, ,k&n/s@,'k&ns@2,20.0
BELLY,5,4,2,23,8,12,29,1,486,630,576,440,0,0, ,N,N, ,S, , , ,be/lI,'belI,20.0
CHAPEL,6,0,2,20,6,16,18,2,471,587,560,445,0,361, ,V, , ,S, , , ,,,
SAVAGE,6,5,2,22,10,22,114,1,448,427,528,458,0,392, ,N,N, ,S, , , ,s&/vIdZ,'s&vIdZ,20.0
RIFLE,5,4,2,63,9,20,181,1,477,606,581,453,0,322, ,V,V, ,S, , , ,raI/fl,'raIf@l,20.0
ESTATE,6,5,2,51,11,33,196,4,498,541,474,495,0,0, ,N,N, ,S, , , ,Is/teIt,I'steIt,2.0
PUPIL,5,5,2,20,6,7,144,0,547,570,572,502,624,0, ,N,N, ,S, , , ,pju/pl,'pjupl,20.0
METAL,5,0,2,61,13,39,170,2,559,582,541,466,696,308, ,J, , ,S, , , ,,,
CHAPEL,6,6,2,20,6,16,18,2,471,587,560,445,0,361, ,N,N, ,S, , , ,tS&/p@l,'tS&pl,20.0
ANGLE,5,4,2,51,8,18,158,0,518,467,503,390,624,0, ,N,N, ,S, , , ,&9/gl,'&Ngl,20.0
LEMON,5,0,2,18,8,12,301,5,518,608,632,470,772,280, ,J, , ,S, , , ,,,
BUFFER,6,0,2,16,2,4,9,0,402,509,459,0,0,553, ,J, , ,$, , , ,,,
OWNER,5,3,2,33,10,22,305,0,564,468,425,459,571,0,Q,N,N, ,S, , , ,@U/n@,'@Un@2 Q,20.0
CIGAR,5,4,2,10,6,9,137,1,536,580,619,395,622,0,2,N,N, ,S, , , ,sI/gA,sI'gA2,2.0
PIANO,5,5,2,38,8,20,212,0,545,615,630,487,640,253, ,A,O, ,F,B, , ,pjA/n@U,'pjAn@U,20.0
REGION,6,0,2,76,11,47,149,1,511,441,459,469,0,0, ,N, , ,S, , , ,,'ridZ@n,
NATIVE,6,5,2,46,12,38,287,2,508,471,507,447,0,425, ,N,N, ,S, , , ,neI/tIv,'neItIv,20.0
TIRE,4,3,2,22,6,8,865,0,546,563,511,400,0,0,2,N,N, ,S, , , ,taI/@,'taI@2,20.0
ESSAY,5,3,2,19,5,13,37,10,578,527,564,0,0,450, ,V,V, , , , , ,e/seI,e'seI,2.0
WINTER,6,5,2,83,14,53,610,11,615,499,621,0,832,236,2,V,V, ,S, , , ,wIn/t@,'wInt@2,20.0
ANCHOR,6,4,2,15,7,11,76,1,458,595,561,390,0,0,2,N,N, ,S, , , ,&9/k@,'&Nk@2,20.0
BABY,4,0,2,62,12,38,1430,10,597,589,608,573,704,0, ,V, , ,S, , , ,,'beIbI,
GOSPEL,6,0,2,13,4,6,25,0,437,403,440,0,0,444, ,J, , ,S, , , ,,,
DIET,4,4,2,21,9,13,258,1,556,449,486,0,0,442, ,N,N, ,S, , , ,daI/@t,'daI@t,20.0
JACKET,6,0,2,33,9,27,192,0,596,635,611,564,0,0, ,V, , ,S, , , ,,,
CARPET,6,5,2,13,6,9,165,1,508,581,538,403,0,0, ,V,V, ,S, , , ,kA/pIt,'kApIt,20.0
OBJECT,6,0,2,65,12,45,394,12,586,487,408,0,0,339, ,O, , ,O,B, , ,,,
COFFEE,6,4,2,78,10,36,580,44,625,613,618,440,728,292, ,N,N, ,S, , , ,k0/fI,'k0fI,20.0
ITEM,4,0,2,54,10,20,167,2,545,436,369,398,496,406, ,V, , ,S, , , ,,,
SHOWER,6,3,2,15,7,9,147,1,593,588,615,454,0,342,2,N,N, ,S, , , ,SaU/@,SaU@ 2,20.0
MOVIE,5,4,2,29,10,20,285,1,523,590,571,477,0,386, ,N,N, ,S, , , ,mu/vI,'muvI,20.0
COUSIN,6,0,2,51,9,15,316,5,515,502,478,0,0,278, ,V, , ,O, , , ,,,
NOVEL,5,5,2,59,10,31,162,17,530,529,547,476,0,475, ,N,N, ,S, , , ,n0/v@l,'n0vl,20.0
WALNUT,6,6,2,11,3,5,75,0,538,642,590,468,0,0, ,N,N, ,S, , , ,wOl/n@t,'wOlnVt,20.0
POCKET,6,5,2,46,9,28,572,2,590,578,558,413,0,228, ,V,V, ,S, , , ,p0/kIt,'p0kIt,20.0
PASTOR,6,0,2,17,6,8,14,0,461,567,488,367,0,0, ,V, , ,S, , , ,,,
TOKEN,5,5,2,10,6,8,34,1,473,467,416,0,0,450, ,N,N, ,S, , , ,t@U/k@n,'t@Uk@n,20.0
SODIUM,6,6,2,12,2,5,4,0,403,511,423,331,0,0, ,N,N, ,$, , ,N,s@U/dj@m,'s@UdI@m,20.0
MARGIN,6,0,2,10,6,9,71,1,499,472,494,0,0,403, ,V, , ,S, , , ,,,
CHINA,5,5,2,69,12,29,0,2,507,578,597,474,0,0, ,N,N, ,S, ,C,N,tSaI/n@,'tSaIn@,20.0
RABBIT,6,5,2,11,5,7,96,0,523,635,611,433,0,206, ,N,N, ,S, , , ,r&/bIt,'r&bIt,20.0
STATUE,6,0,2,17,5,9,58,0,444,600,562,0,0,406, ,V, , ,W, , , ,,,
AUTUMN,6,0,2,22,8,14,132,1,533,421,622,0,0,278, ,V, , ,S, , , ,,,
CELLAR,6,0,2,26,7,10,140,1,467,572,572,438,679,361, ,V, , ,S, , , ,,,
PALACE,6,5,2,38,10,19,104,2,462,579,612,484,708,294, ,N,N, ,S, , , ,p&/lIs,'p&lIs,20.0
ARROW,5,0,2,14,3,3,39,0,490,595,619,0,680,0, ,V, , ,S, , , ,,,
BABY,4,4,2,62,12,38,1430,10,597,589,608,573,704,0, ,N,N, ,S, , , ,beI/bI,'beIbI,20.0
PENCIL,6,5,2,34,7,14,186,1,598,617,607,449,648,225, ,N,N, ,S, , , ,pen/sl,'pensl,20.0
SUGAR,5,4,2,34,9,16,726,6,608,620,595,510,700,0,2,V,V, ,S, , , ,SU/g@,'SUg@2,20.0
STABLE,6,5,2,30,6,20,111,2,519,562,537,490,0,292, ,J,J, ,S, , , ,steI/bl,'steIbl,20.0
DAMAGE,6,5,2,33,10,22,156,2,558,406,443,0,0,358, ,V,V, ,S, , , ,d&/mIdZ,'d&mIdZ,20.0
